"Nb_Inflorescences","Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"1","12","0","0",0.18817002627164,5
"2","12","0","0",0.153805815057372,0
"3","12","0","0",0.18045343677053,0
"4","12","0","0",0.280393051189752,0
"5","12","0","0",0.192507413964555,0
"6","12","0","0",0.452228846506099,0
"1","1","0","0",0.124360732406654,8
"2","1","0","0",0.101649578245396,2
"3","1","0","0",0.119260872768785,0
"4","1","0","0",0.185310518888679,0
"5","1","0","0",0.127227292617704,0
"6","1","0","0",0.298876030796362,0
"1","2","0","0",0.143170538375186,26
"2","2","0","0",0.117024277369286,1
"3","2","0","0",0.137299314912107,0
"4","2","0","0",0.213339100232395,0
"5","2","0","0",0.146470671469923,0
"6","2","0","0",0.344081619724074,0
"1","3","0","0",0.272113170202224,6
"2","3","0","0",0.222418993928292,0
"3","3","0","0",0.260954189816766,0
"4","3","0","0",0.405477129241476,0
"5","3","0","0",0.278385477959738,0
"6","3","0","0",0.65396932507213,0
"1","4","0","0",0.137458094715686,6
"2","4","0","0",0.112355058416474,0
"3","4","0","0",0.131821130574572,0
"4","4","0","0",0.204826960763782,0
"5","4","0","0",0.140626553901904,0
"6","4","0","0",0.330352909269745,0
"1","12","1","0",0.504024022026879,8
"2","12","1","0",0.411977545267648,1
"3","12","1","0",0.483354702083938,2
"4","12","1","0",0.751048592643721,4
"5","12","1","0",0.515641959449691,5
"6","12","1","0",1.21132045633844,3
"1","1","1","0",0.333107231644454,11
"2","1","1","0",0.272274125054431,3
"3","1","1","0",0.319446970138507,5
"4","1","1","0",0.496364670318574,1
"5","1","1","0",0.340785474750346,0
"6","1","1","0",0.800556295357839,2
"1","2","1","0",0.383490357191339,28
"2","2","1","0",0.313456123289845,17
"3","2","1","0",0.367763954199781,6
"4","2","1","0",0.571440805346442,2
"5","2","1","0",0.392329949705569,3
"6","2","1","0",0.921642013422988,3
"1","3","1","0",0.728870464703125,2
"2","3","1","0",0.595761812421055,0
"3","3","1","0",0.698980506737777,0
"4","3","1","0",1.08609334637162,0
"5","3","1","0",0.745671194585411,0
"6","3","1","0",1.75169369976719,0
"1","4","1","0",0.368189254853674,8
"2","4","1","0",0.300949357132926,0
"3","4","1","0",0.353090328660594,0
"4","4","1","0",0.548640559972448,0
"5","4","1","0",0.37667615138182,0
"6","4","1","0",0.884868888619122,0
"1","12","0","1",0.117411604720314,1
"2","12","0","1",0.0959695224527034,0
"3","12","0","1",0.112596719086056,0
"4","12","0","1",0.174955590669308,0
"5","12","0","1",0.12011798500526,0
"6","12","0","1",0.282175198787759,0
"1","1","0","1",0.0775968067038502,0
"2","1","0","1",0.0634258300187834,0
"3","1","0","1",0.074414670229754,0
"4","1","0","1",0.115627370763423,0
"5","1","0","1",0.0793854413821539,0
"6","1","0","1",0.186488332299966,0
"1","2","0","1",0.0893334767091724,5
"2","2","0","1",0.0730191118607175,0
"3","2","0","1",0.0856700358194073,0
"4","2","0","1",0.133116238564551,0
"5","2","0","1",0.0913926459090763,0
"6","2","0","1",0.214695060244338,0
"1","3","0","1",0.169789230580505,0
"2","3","0","1",0.138781778983758,0
"3","3","0","1",0.162826411793373,0
"4","3","0","1",0.253003740100998,0
"5","3","0","1",0.173702934233,0
"6","3","0","1",0.408054297573067,0
"1","4","0","1",0.0857691089390999,0
"2","4","0","1",0.0701056803174343,0
"3","4","0","1",0.0822518377845345,0
"4","4","0","1",0.12780495719623,0
"5","4","0","1",0.0877461181627033,0
"6","4","0","1",0.206128818547287,0
"1","12","1","1",0.314493601432216,1
"2","12","1","1",0.257059775443634,0
"3","12","1","1",0.301596658858191,0
"4","12","1","1",0.468628411402433,0
"5","12","1","1",0.321742793577109,0
"6","12","1","1",0.755822175440038,0
"1","1","1","1",0.207847420687805,11
"2","1","1","1",0.169889660855505,2
"3","1","1","1",0.199323888773125,0
"4","1","1","1",0.309714430206024,0
"5","1","1","1",0.212638379494358,0
"6","1","1","1",0.499519509931004,0
"1","2","1","1",0.23928475286283,24
"2","2","1","1",0.195585807017641,4
"3","2","1","1",0.229472019940894,1
"4","2","1","1",0.356559348413645,1
"5","2","1","1",0.244800353634821,1
"6","2","1","1",0.575072820670395,0
"1","3","1","1",0.454790024690201,2
"2","3","1","1",0.371734817778368,0
"3","3","1","1",0.436139722092762,0
"4","3","1","1",0.677684779027781,0
"5","3","1","1",0.465273100528774,0
"6","3","1","1",1.09299643701611,0
"1","4","1","1",0.229737392876487,1
"2","4","1","1",0.187782016406347,0
"3","4","1","1",0.220316183829494,0
"4","4","1","1",0.342332781885387,0
"5","4","1","1",0.235032923520812,0
"6","4","1","1",0.552127659427927,0
"1","12","0","2",2.26032940697698e-07,1
"2","12","0","2",1.84754083116498e-07,0
"3","12","0","2",2.16763646051509e-07,0
"4","12","0","2",3.36812760073318e-07,0
"5","12","0","2",2.31243082369041e-07,0
"6","12","0","2",5.43224753003648e-07,0
"1","1","0","2",1.49384163940206e-07,0
"2","1","0","2",1.22103150787254e-07,0
"3","1","0","2",1.4325812838644e-07,0
"4","1","0","2",2.22598053242327e-07,0
"5","1","0","2",1.52827523369063e-07,0
"6","1","0","2",3.59014820178824e-07,0
"1","2","0","2",1.71978813264869e-07,0
"2","2","0","2",1.40571493084759e-07,0
"3","2","0","2",1.64926202755386e-07,0
"4","2","0","2",2.56266447673855e-07,0
"5","2","0","2",1.75942987596334e-07,0
"6","2","0","2",4.13316519571434e-07,0
"1","3","0","2",3.26866830398333e-07,0
"2","3","0","2",2.67173365815767e-07,0
"3","3","0","2",3.13462479016291e-07,0
"4","3","0","2",4.87065818738873e-07,0
"5","3","0","2",3.34401229980895e-07,0
"6","3","0","2",7.85558744933974e-07,0
"1","4","0","2",1.65116931675594e-07,0
"2","4","0","2",1.34962750228221e-07,0
"3","4","0","2",1.58345717329351e-07,0
"4","4","0","2",2.46041525278712e-07,0
"5","4","0","2",1.68922937135293e-07,0
"6","4","0","2",3.96825366025546e-07,0
"1","12","1","2",6.05441972551752e-07,0
"2","12","1","2",4.94874225737939e-07,0
"3","12","1","2",5.80613644355741e-07,0
"4","12","1","2",9.02171963121597e-07,0
"5","12","1","2",6.19397630700672e-07,0
"6","12","1","2",1.45505812109631e-06,0
"1","1","1","2",4.00133903513267e-07,0
"2","1","1","2",3.27060172022846e-07,0
"3","1","1","2",3.83724971973706e-07,0
"4","1","1","2",5.96241432886806e-07,0
"5","1","1","2",4.09357135836735e-07,0
"6","1","1","2",9.61641432586968e-07,0
"1","2","1","2",4.60654945331392e-07,0
"2","2","1","2",3.76528667879462e-07,0
"3","2","1","2",4.41764130544305e-07,0
"4","2","1","2",6.86424125172077e-07,0
"5","2","1","2",4.71273209728488e-07,0
"6","2","1","2",1.1070915952566e-06,0
"1","3","1","2",8.75531229860784e-07,0
"2","3","1","2",7.15638920209987e-07,0
"3","3","1","2",8.39626919115326e-07,0
"4","3","1","2",1.30463325013406e-06,0
"5","3","1","2",8.9571254383732e-07,0
"6","3","1","2",2.10416337822281e-06,0
"1","4","1","2",4.42275008707979e-07,0
"2","4","1","2",3.61505333987879e-07,0
"3","4","1","2",4.24137929405706e-07,0
"4","4","1","2",6.59036094184223e-07,0
"5","4","1","2",4.52469608866479e-07,0
"6","4","1","2",1.06291911092021e-06,0
