"Nb_Inflorescences","Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"1","10","0","0",0.0852936052799186,18
"2","10","0","0",0.250206189748424,0
"3","10","0","0",0.161600430672024,0
"4","10","0","0",0.250327261095796,0
"5","10","0","0",0.667772241600754,0
"6","10","0","0",0.632261659766371,0
"1","12","0","0",0.226402418041316,13
"2","12","0","0",0.511561175348893,2
"3","12","0","0",0.376929353473667,1
"4","12","0","0",0.511722401684775,4
"5","12","0","0",0.863172348531224,0
"6","12","0","0",0.843657505057903,1
"1","1-2","0","0",0.395536261202253,69
"2","1-2","0","0",0.700754126097562,10
"3","1-2","0","0",0.574940267166108,3
"4","1-2","0","0",0.700889417142316,3
"5","1-2","0","0",0.933796848545163,2
"6","1-2","0","0",0.923461562235771,2
"1","3-4-5","0","0",0.337308230969593,16
"2","3-4-5","0","0",0.645582612029945,0
"3","3-4-5","0","0",0.512702972419235,0
"4","3-4-5","0","0",0.645730236217414,0
"5","3-4-5","0","0",0.916469520550157,0
"6","3-4-5","0","0",0.903708124533754,0
"1","10","1","0",0.0863394936738341,13
"2","10","1","0",0.252715578789041,1
"3","10","1","0",0.16341484591743,0
"4","10","1","0",0.252837454935956,0
"5","10","1","0",0.670723270218059,0
"6","10","1","0",0.63535587194099,0
"1","12","1","0",0.228745905117937,36
"2","12","1","0",0.514891758255003,2
"3","12","1","0",0.380065452861165,1
"4","12","1","0",0.51505292739559,2
"5","12","1","0",0.864739291523116,5
"6","12","1","0",0.845407905740421,3
"1","1-2","1","0",0.398728102058982,119
"2","1-2","1","0",0.703542252679064,21
"3","1-2","1","0",0.578195023232293,17
"4","1-2","1","0",0.703676816225358,3
"5","1-2","1","0",0.934616267735279,1
"6","1-2","1","0",0.924398547970933,3
"1","3-4-5","1","0",0.340294719959926,52
"2","3-4-5","1","0",0.648627029420277,0
"3","3-4-5","1","0",0.516033135352735,1
"4","3-4-5","1","0",0.648774075420143,0
"5","3-4-5","1","0",0.917484454592696,0
"6","3-4-5","1","0",0.904862019120389,0
"1","10","0","1",0.0885051379757703,0
"2","10","0","1",0.257876551630098,0
"3","10","0","1",0.167160058368318,0
"4","10","0","1",0.258000057424544,0
"5","10","0","1",0.676690668411851,0
"6","10","0","1",0.641621752245392,0
"1","12","0","1",0.233570368561067,12
"2","12","0","1",0.521669229203365,1
"3","12","0","1",0.386482112873554,0
"4","12","0","1",0.521830237752937,0
"5","12","0","1",0.867883177010854,0
"6","12","0","1",0.848922613124914,0
"1","1-2","0","1",0.405253873699563,43
"2","1-2","0","1",0.709172774549729,6
"3","1-2","0","1",0.584801254699624,1
"4","1-2","0","1",0.709305838365034,1
"5","1-2","0","1",0.936255716999569,0
"6","1-2","0","1",0.926273988929152,0
"1","3-4-5","0","1",0.346415131206647,2
"2","3-4-5","0","1",0.65478876933976,0
"3","3-4-5","0","1",0.522809438692284,0
"4","3-4-5","0","1",0.654934608526367,0
"5","3-4-5","0","1",0.919516479761127,0
"6","3-4-5","0","1",0.907173434747717,0
"1","10","1","1",0.0895865499341396,1
"2","10","1","1",0.260436148372608,0
"3","10","1","1",0.169024311371071,0
"4","10","1","1",0.260560449637382,0
"5","10","1","1",0.679600487930372,0
"6","10","1","1",0.644681467123387,0
"1","12","1","1",0.235965419642277,12
"2","12","1","1",0.524994886732816,0
"3","12","1","1",0.38964798812811,0
"4","12","1","1",0.525155794802087,0
"5","12","1","1",0.869404334057198,0
"6","12","1","1",0.850624503116306,0
"1","1-2","1","1",0.408471140900328,46
"2","1-2","1","1",0.711914709563797,3
"3","1-2","1","1",0.588034607166191,1
"4","1-2","1","1",0.712047028237528,0
"5","1-2","1","1",0.937046753697694,2
"6","1-2","1","1",0.927179259863057,0
"1","3-4-5","1","1",0.349439734403444,2
"2","3-4-5","1","1",0.657796024588327,0
"3","3-4-5","1","1",0.526134369782605,0
"4","3-4-5","1","1",0.657941256999531,0
"5","3-4-5","1","1",0.920497603438666,0
"6","3-4-5","1","1",0.908290017598176,0
"1","10","0","2",0.0249780334368932,0
"2","10","0","2",0.08397900272376,0
"3","10","0","2",0.0502910918668086,0
"4","10","0","2",0.0840286532903816,0
"5","10","0","2",0.355755831637116,0
"6","10","0","2",0.320815221312236,0
"1","12","0","2",0.0744198951837275,0
"2","12","0","2",0.223444226537361,0
"3","12","0","2",0.142514355092472,0
"4","12","0","2",0.223556209194096,0
"5","12","0","2",0.634119974280338,0
"6","12","0","2",0.597182211419722,0
"1","1-2","0","2",0.152379513158812,0
"2","1-2","0","2",0.391486503024338,0
"3","1-2","0","2",0.270927261237277,0
"4","1-2","0","2",0.391640229577278,0
"5","1-2","0","2",0.794875969416592,0
"6","1-2","0","2",0.768235851819152,0
"1","3-4-5","0","2",0.122682158790234,0
"2","3-4-5","0","2",0.33352569627545,0
"3","3-4-5","0","2",0.224238180141623,0
"4","3-4-5","0","2",0.333669143064939,0
"5","3-4-5","0","2",0.75088869867002,0
"6","3-4-5","0","2",0.720544259301446,0
"1","10","1","2",0.0253047800525311,0
"2","10","1","2",0.085010269322672,0
"3","10","1","2",0.0509316706716936,0
"4","10","1","2",0.0850604729838853,0
"5","10","1","2",0.35881721628262,0
"6","10","1","2",0.323727017826883,0
"1","12","1","2",0.0753434305531966,1
"2","12","1","2",0.225766029597654,0
"3","12","1","2",0.144151320928618,0
"4","12","1","2",0.225878837401233,0
"5","12","1","2",0.637207522337317,0
"6","12","1","2",0.600385032132573,0
"1","1-2","1","2",0.154109428241377,6
"2","1-2","1","2",0.394667001284279,0
"3","1-2","1","2",0.273568643809229,0
"4","1-2","1","2",0.394821166414346,0
"5","1-2","1","2",0.797041136465895,0
"6","1-2","1","2",0.770601063365017,0
"1","3-4-5","1","2",0.124124300394536,0
"2","3-4-5","1","2",0.336495700452011,0
"3","3-4-5","1","2",0.226565826169338,0
"4","3-4-5","1","2",0.336639779407735,0
"5","3-4-5","1","2",0.753374109879908,0
"6","3-4-5","1","2",0.723220826123361,0
