"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","12","2","3","5"
"2","0","0","0",1.85317163387907e-25,5.03653456018854e-15,1.70199134473054e-07,0.99999982980086
"9","0","0","0",0.918473564949368,0.0815264350473668,3.26494387081766e-12,0
"10","0","0","0",0.999999999906077,9.39230915264488e-11,0,0
"12","0","0","0",1.07083534153161e-08,0.996575692338057,0.00342429685191048,1.0167866548727e-10
"2","1","0","0",1.34650434197233e-25,3.6595183790894e-15,1.23665763085542e-07,0.999999876334233
"9","1","0","0",0.891136139013678,0.108863860981827,4.49418280368263e-12,0
"10","1","0","0",0.999999999870735,1.29265487203156e-10,0,0
"12","1","0","0",7.78063086424981e-09,0.995293253674946,0.00470673840448133,1.39941391807952e-10
"2","0","1","0",2.10037221867034e-25,5.70837426776811e-15,1.92902545580523e-07,0.999999807097449
"9","0","1","0",0.927371835013532,0.0726281649835868,2.88125079350721e-12,0
"10","0","1","0",0.999999999917133,8.28670465580217e-11,0,0
"12","0","1","0",1.213677544914e-08,0.996977490978189,0.00302249679532207,8.97131258170702e-11
"2","1","1","0",1.52611893064527e-25,4.14767342464863e-15,1.40161938674324e-07,0.999999859838057
"9","1","1","0",0.902702091671665,0.0972979083243705,3.96482846554136e-12,0
"10","1","1","0",0.999999999885951,1.14049214516854e-10,0,0
"12","1","1","0",8.8185144836425e-09,0.99584490440215,0.0041550866558645,1.23471011193033e-10
"2","0","0","1",1.32371790903723e-26,3.59758959986413e-16,1.21573023184675e-08,0.999999987842697
"9","0","0","1",0.445899253345135,0.554100746609142,4.57234250461624e-11,0
"10","0","0","1",0.999999998685109,1.31489130694717e-09,0,0
"12","0","0","1",7.64896196011266e-10,0.954103777024661,0.0458962207869483,1.42349421139443e-09
"2","1","0","1",9.61806170286694e-27,2.61398886551685e-16,8.8334291943767e-09,0.999999991166571
"9","1","0","1",0.368969503802138,0.631030496134933,6.29292173925933e-11,0
"10","1","0","1",0.999999998190336,1.80966353013901e-09,0,0
"12","1","0","1",5.55769379626651e-10,0.93790614874121,0.0620938487438869,1.9591333000335e-09
"2","0","1","1",1.50029294139283e-26,4.07748376436948e-16,1.3779004348791e-08,0.999999986220995
"9","0","1","1",0.477006859225765,0.522993140733893,4.03410638227797e-11,0
"10","0","1","1",0.999999998839865,1.16013509909862e-09,0,0
"12","0","1","1",8.66928184488713e-10,0.959285546171131,0.040714451705982,1.25595889244323e-09
"2","1","1","1",1.09010462003851e-26,2.96267733256459e-16,1.00117490006914e-08,0.999999989988251
"9","1","1","1",0.398570676778672,0.601429323165806,5.55218093722942e-11,0
"10","1","1","1",0.999999998403325,1.59667479238124e-09,0,0
"12","1","1","1",6.29905262701156e-10,0.944810878768274,0.0551891188732654,1.72855507685199e-09
"1","0","0","0",0.25,0.25,0.25,0.25
"3","0","0","0",0.25,0.25,0.25,0.25
"4","0","0","0",0.25,0.25,0.25,0.25
"5","0","0","0",0.25,0.25,0.25,0.25
"6","0","0","0",0.25,0.25,0.25,0.25
"7","0","0","0",0.25,0.25,0.25,0.25
"8","0","0","0",0.25,0.25,0.25,0.25
"11","0","0","0",0.25,0.25,0.25,0.25
"1","1","0","0",0.25,0.25,0.25,0.25
"3","1","0","0",0.25,0.25,0.25,0.25
"4","1","0","0",0.25,0.25,0.25,0.25
"5","1","0","0",0.25,0.25,0.25,0.25
"6","1","0","0",0.25,0.25,0.25,0.25
"7","1","0","0",0.25,0.25,0.25,0.25
"8","1","0","0",0.25,0.25,0.25,0.25
"11","1","0","0",0.25,0.25,0.25,0.25
"1","0","1","0",0.25,0.25,0.25,0.25
"3","0","1","0",0.25,0.25,0.25,0.25
"4","0","1","0",0.25,0.25,0.25,0.25
"5","0","1","0",0.25,0.25,0.25,0.25
"6","0","1","0",0.25,0.25,0.25,0.25
"7","0","1","0",0.25,0.25,0.25,0.25
"8","0","1","0",0.25,0.25,0.25,0.25
"11","0","1","0",0.25,0.25,0.25,0.25
"1","1","1","0",0.25,0.25,0.25,0.25
"3","1","1","0",0.25,0.25,0.25,0.25
"4","1","1","0",0.25,0.25,0.25,0.25
"5","1","1","0",0.25,0.25,0.25,0.25
"6","1","1","0",0.25,0.25,0.25,0.25
"7","1","1","0",0.25,0.25,0.25,0.25
"8","1","1","0",0.25,0.25,0.25,0.25
"11","1","1","0",0.25,0.25,0.25,0.25
"1","0","0","1",0.25,0.25,0.25,0.25
"3","0","0","1",0.25,0.25,0.25,0.25
"4","0","0","1",0.25,0.25,0.25,0.25
"5","0","0","1",0.25,0.25,0.25,0.25
"6","0","0","1",0.25,0.25,0.25,0.25
"7","0","0","1",0.25,0.25,0.25,0.25
"8","0","0","1",0.25,0.25,0.25,0.25
"11","0","0","1",0.25,0.25,0.25,0.25
"1","1","0","1",0.25,0.25,0.25,0.25
"3","1","0","1",0.25,0.25,0.25,0.25
"4","1","0","1",0.25,0.25,0.25,0.25
"5","1","0","1",0.25,0.25,0.25,0.25
"6","1","0","1",0.25,0.25,0.25,0.25
"7","1","0","1",0.25,0.25,0.25,0.25
"8","1","0","1",0.25,0.25,0.25,0.25
"11","1","0","1",0.25,0.25,0.25,0.25
"1","0","1","1",0.25,0.25,0.25,0.25
"3","0","1","1",0.25,0.25,0.25,0.25
"4","0","1","1",0.25,0.25,0.25,0.25
"5","0","1","1",0.25,0.25,0.25,0.25
"6","0","1","1",0.25,0.25,0.25,0.25
"7","0","1","1",0.25,0.25,0.25,0.25
"8","0","1","1",0.25,0.25,0.25,0.25
"11","0","1","1",0.25,0.25,0.25,0.25
"1","1","1","1",0.25,0.25,0.25,0.25
"3","1","1","1",0.25,0.25,0.25,0.25
"4","1","1","1",0.25,0.25,0.25,0.25
"5","1","1","1",0.25,0.25,0.25,0.25
"6","1","1","1",0.25,0.25,0.25,0.25
"7","1","1","1",0.25,0.25,0.25,0.25
"8","1","1","1",0.25,0.25,0.25,0.25
"11","1","1","1",0.25,0.25,0.25,0.25
